URL,Post,Comments
https://www.facebook.com/profeMikhailKrasnov,"¡ALTO AHÍ! ¿SI SUPO SUMERCÉ LO QUE HEMOS GESTIONADO EN LA SECRETARÍA DE MOVILIDAD y VIDA TERRITORIAL?Aún nos queda mucho por hacer, pero si entre todos somos protagonistas de transformación, empezando por nuestra cultura vial, siendo responsables cuando vamos al volante, estoy convenido, Tunja será referente de tolerancia e inteligencia vial.¡Podemos!","Fan destacado: Jose Alfredo Tovar Rodriguez: Estimado alcalde Krasnov, cuándo dejarán de ""desangrarnos"" con la patética y retrógrada medida del Pico y Placa???"
https://www.facebook.com/profeMikhailKrasnov,"Tunjanos, soy consiente del estado actual de las calles, por mí sacaba una pala y yo mismo empezaba a arreglar, pero todos han visto que atravesamos por un fuerte invierno, y si aplicamos asfalto cuando está lloviendo, la calidad del mismo se verá reducida, causando que en un futuro se generen burbujas, convirtiéndose estos en baches, es decir, no haríamos nada, solo generar gastos y perdidas.Por eso con el nuevo secretario de infraestructura, William Rincón, estamos realiz… Ver más",Jorge Alfredo Forero: Que viva el señor  alcalde lo necesitamos  que sea presidente de Colombia...
https://www.facebook.com/profeMikhailKrasnov,"LA EDUCACIÓN ES Y SERÁ MI PRIORIDAD, POR ESO HEMOS TRABAJADO DURO ESTOS MESES, Y QUIERO CONTARLE LO MÁS IMPORTANTE QUE HEMOS LOGRADO GESTIONAR.POR LOS QUE SIGUEN NUESTROS PASOS, MI COMPROMISO DE SEGUIR ENTREGANDO MIS DÍAS POR ELLOS Y ELLAS.",Fan destacado: Jenny Lopez  · Seguir: Se seguirán viendo animalitos abandonados y maltratados mientras no se cumplan.las leyes....sanciones para abandonos y maltrato....serían un gran conjunto....
https://www.facebook.com/profeMikhailKrasnov,"¡Barrio Centenario, acá estamos entregando el primero de los polideportivos que los tunjanos merecen!Un espacio en donde cientos de niñas, niños y jóvenes desarrollarán sus talentos, practicarán deporte y cultivarán un espíritu comunitario.¡SIN PAUSA SEGUIREMOS TRABAJANDO POR SUMERCÉ, UN HONOR SERVILES!",Lucas Pinilla: Señor alcalde no se le olvide que tunja ya no tiene vías si no cráteres
https://www.facebook.com/profeMikhailKrasnov,"Tunjanos, me place presentarles a nuestro nuevo secretario de infraestructura el ing. William, un tunjano elegido de la convocatoria ‘Conectemos con el mérito’, destacado por su experiencia y hoja de vida.El buen hijo vuelve a su casa, regresa luego de trabajar años fuera de Tunja a ayudarnos a reconstruirla, a conectarla con el mundo.","Fan destacado: Andrés Saavedra: Que gran multitud para enaltecer a la virgen del milagro, excelente el orden público."
https://www.facebook.com/profeMikhailKrasnov,"ATENCIÓN¿YA SUPO SUMERCÉ QUE GESTIONAMOS EN EL DEPORTE DESDE LA ALCALDÍA?QUIERO CONTARLES LOS 6 LOGROS MÁS IMPORTANTES EN DEPORTE QUE HEMOS CONSEGUIDO EN 6 SEIS MESES.Vamos por más, vamos en equipo a fortalecer más este aspecto de la vida de los tunjanos, que transforma no solo el aspecto físico, sino también el estado de ánimo, la actitud y la mente, porque el deporte es sin lugar a dudas, medicina integral para la vida.",Carlos Emg Cosmos: Yo estoy deacuerdo con la participación de la mujer en cuanto a la policía construcción en mejora social y en aspectos educativos lógicos pero no en el feminismo actual que destruyen las estructuras de uso público y desorden sin sentido con actos obscenos.
https://www.facebook.com/groups/164639504222784,"#Noticias Para ser participante del programa Renta Joven, debe cumplir con los siguientes requisitos al momento de la inscripción:Tener entre 14 y 28 años.Contar con un registro en los sistemas oficiales de matrícula en educación media como graduado de bachiller de media vocacional (grado 11).Estar incluido en una de las siguientes bases de focalización:… Ver más",Sandra Castano: Debería generar empleo
https://www.facebook.com/groups/164639504222784,"#Noticias  En Bogotá, uniformados del grupo de Transporte Masivo de Transmilenio lograron encontrar en una estación del servicio a un joven en condición de discapacidad que había sido dado por desaparecido.El joven era buscado por su familia desde hace ocho días por su familia en la ciudad de Tunja.“En el marco del Nuevo Modelo del Servicio de Policía, Orientado a las Personas y los Territorios, uniformados del grupo de Transporte Masivo Transmilenio, logran en la Estació… Ver más",Eliana Ruiz: Dios es bueno 
https://www.facebook.com/groups/164639504222784,"#Noticias El presidente Gustavo Petro de forma oficial sancionó el proyecto de ley de la reforma pensional aprobado en el Congreso de la República, en un acto especial que se realizó en la Plaza de Bolívar.La reforma pensional según el Gobierno prioriza la dignificación y superación de la pobreza al garantizar una renta solidaria de $225 mil pesos para más de 2 millones de personas mayores y trabajadores.Con la promulgación de la Ley Pensional, que entrará en pleno efecto… Ver más",Nancy Milena Monroy: Que buena noticia
https://www.facebook.com/groups/164639504222784,"#Noticias Un día después de que se conociera que dos computadores de la Consejería de Regiones resultaron sin memoria RAM y disco duro, la Casa de Nariño confirmó que la Dijín adelanta este viernes una inspección en las instalaciones del Departamento Administrativo de la Presidencia (Dapre).Los hechos están relacionados con el escándalo de corrupción de la UNGRD y que relacionan a la exconsejera Sandra Ortiz con los hechos. Los dos computadores reportados incompletos hacían… Ver más",Jose ochoa: Eso debía ser para después de los 70 años ya de ochenta para que el viejito ya está muy enfermo ese presidente es pura paja todo se lo roban
https://www.facebook.com/groups/164639504222784,"#Noticias  En las últimas horas el director de la Policía Nacional, el general William Salamanca, confirmó a través de su cuenta de X la captura de alias Lizarazo, un delincuente dedicado a reclutar menores para el autodenominado Estado Mayor Central (EMC), puntualmente del frente Adán Izquierdo.Dicha estructura, según la gobernadora del Valle, Dilian Francisca Toro, delinque en el norte y centro del departamento.Según informes de Salamanca, ‘Lizarazo’ cayó en medio de un… Ver más",Rafael Orlando Lizarazo Ch: Ummmmm..
https://www.facebook.com/groups/164639504222784,"#Noticias En horas de la noche de este 15 de julio, un feminicidio se registró en la vereda El Manzano del municipio de Aquitania. En el hecho, una mujer de 24 años identificada como Carinth Odilia Sánchez murió tras recibir varias heridas con arma cortopunzante por parte de su pareja sentimental.El abominable caso fue perpetrado frente a la hija de la mujer, una menor de 5 años de edad que hoy está en manos de la Policía de Infancia y Adolescencia, y del ICBF, en donde se … Ver más","Gabriel Sánchez Avila: Hay una cultura misógina incrustada en el corazón de nuestra población y el sistema se encarga de dar soluciones para la víctima, en lugar de prevenir que el individuo se convierta en victimario, los pocos espacios que hay para reflexionar nuestra acti… Ver más"
https://www.facebook.com/groups/164639504222784,"#Noticias  De forma alarmante han aumentado las cifras de violencia contra las mujeres en el país, así lo reveló Luz Adriana Camargo, fiscal general de la Nación, desde la capital del Atlántico, durante la realización de la mesa de seguimiento “Feminicidio y violencia de género”.""Cualquiera que sea la cifra que haya, es preocupante porque habla de la salud como sociedad y de nuestros principios éticos de lo que nos mueve como sociedad; y el tema adquiere gran relevancia y e… Ver más",Elsa Rojas
https://www.facebook.com/groups/164639504222784,"#Noticias  Un fallo con el sistema de Microsoft a nivel global está provocando problemas en numerosas empresas, entre ellas del sector aéreo, financiero, medios de comunicación, así como en otras industrias.Según recoge Downdetector, un sitio web que monitorea las interrupciones, desde la pasada noche se están registrando picos repentinos de incidencias en distintos sitios web que incluyen aplicaciones de Microsoft.Unos problemas que comenzaron a detectarse en Estados Uni… Ver más",Paola Camargo: Mañana es día festivo
https://www.facebook.com/groups/164639504222784,"#Noticias  En horas de la mañana de este viernes 19 de julio, el Ministerio del Trabajo anunció que el sindicato mayoritario de la cartera había acordado dejar de lado el cese de actividades.""SINALTRAEMPROS, sindicato mayoritario de la entidad, levanta cese de actividades luego de acordar circular con garantías laborales por parte del Ministerio"", anunció la cartera a través de su cuenta de X.Por ello, los dirigentes de Sinaltraempos solicitaron a los funcionarios que ret… Ver más",Jonathan Andres Bautista Lopez: Colaborador destacado: Cual covi ?
https://www.facebook.com/groups/164639504222784,#Movilidad Recuerde que en Tunja el PicoYplaca el día viernes será para los vehículos particulares con matrículas terminadas en 5 y 6. Bogotá hoy 6-7-8-9-0,Julio Mendez
https://www.facebook.com/groups/164639504222784,"#Noticias El presidente estadounidense, Joe Biden, presenta síntomas leves tras haber dado positivo en covid-19 y no tiene fiebre, aunque ha recibido una primera dosis del medicamento Paxlovid y tiene previsto volver a su vivienda en Delaware para permanecer en aislamiento, informó la Casa Blanca en un comunicado.La portavoz de la Casa Blanca, Karine Jean Pierre, detalló que Biden seguirá realizando todas sus funciones mientras está aislado en su residencia y que, de moment… Ver más",Yayita Clau Avendaño: Colaborador destacado: Un presidente cómo Bukelet por favor DIOS mío para Colombia por favor 
https://www.facebook.com/groups/164639504222784,#Movilidad Recuerde que en Tunja el PicoYplaca el día miércoles será para los vehículos particulares con matrículas terminadas en 3 y 4. #bogotá hoy 1-2-3-4-5,Victor Molina: Colaborador destacado: Son de los que creen que por qué son lo que son en Colombia van a ir a hacer lo que se les da la gana en otro lugar y haya si vea.... Que los tengan detenidos por lo que resta del año por lepras...
https://www.facebook.com/groups/164639504222784,"#Noticias Viajar a ciertos países considerados ""no tan amigos"" de Estados Unidos puede complicar el uso del programa ESTA. ""Hay unos países como Irán, Irak, Sudán, Siria, Libia, Somalia, Yemen y Cuba. Si alguno de sus ciudadanos que generalmente tendrían acceso a Estados Unidos sin necesidad de pedir visa ha visitado en poco tiempo algunos de esos países mencionados, a veces la Embajada puede decir: ‘Qué pena, usted no puede ingresar a Estados Unidos sin visa y tendrá que apl… Ver más",Fredy Alfonso Gomez Tabares: Santo dios 
https://www.facebook.com/groups/164639504222784,"#Deportes  Una fuerte noticia sacudió el mundo del ciclismo colombiano en las últimas horas, pues se comenzó a rumorar que Egan Bernal, el segundo mejor cafetero en el Tour de Francia 2024, podría dejar la competencia internacional por algunos problemas de salud, los cuales le impedirían su partida en la tercera semana de la carrera.Según dio a conocer el portal flamenco Het Nieuwsblad, Egan Bernal habría dado positivo en las últimas pruebas covid-19 que realizaron en el In… Ver más",Julio Mendez
https://www.facebook.com/groups/164639504222784,"#Noticias  Uniformados del Gaula Militar de Cundinamarca capturaron al capitán junto a los civiles cuando los encontraron en flagrancia cargando un camión con 96 kilos de cocaína.Según dieron a conocer las autoridades, ellos presuntamente recolectaban la droga de Nariño, Putumayo y Caquetá, entre otros departamentos; para luego distribuirla en México, Europa y Estados Unidos.El Gaula dio con las capturas luego de realizar labores de inteligencia durante meses. La mercancí… Ver más",Yonatan Olarthe Adicto Gbr: Donde
https://www.facebook.com/groups/164639504222784,"#Deportes El presidente de la Federación Colombiana de Fútbol (FCF), Ramón Jesurún Franco, y su hijo, Ramón Jamil, fueron arrestados por la Policía de Miami-Dade (Florida) tras un incidente ocurrido en el estadio donde tuvo lugar este domingo el partido final de la Copa América entre Argentina y Colombia.Jesurún, de 71 años, y su hijo, de 43, fueron detenidos aparentemente tras un incidente registrado en un elevador del estadio Hard Rock, al concluir el partido en el que Ar… Ver más",Danilo Vargas: Eso solo existe para los de corbata
https://www.facebook.com/groups/164639504222784,"#Noticias El Instituto Nacional de Salud (INS) confirmó en el boletín epidemiológico que durante este año se han presentado en el país 377 muertes probables por dengue, de las cuales 92 casos se han confirmado,112 se descartaron y 173 están en estudio.Según el informe de la entidad para el mismo periodo de 2023 se confirmaron 55 muertes por dengue por lo que se tiene un aumento en el número de personas que fallecieron como consecuencia de la enfermedad generada por la picad… Ver más","Cesar Hernandez: Estos se  debe a los altos sueldos que les pagan a unos sinvergüenzas qué no asen nada, y que se la pasan aplastados en el congreso desangrado al país, que tristeza con este gobierno tan ignorante "
https://www.facebook.com/groups/164639504222784,"#Deportes Millonarios ha hecho historia para este segundo semestre. Cuando parecía que todos esos intentos por fichar a Radamel Falcao García Zárate eran complejos, el jugador, el club y los patrocinadores pusieron de su parte para cumplir el sueño del delantero samario, que culminó su paso por el Rayo Vallecano de España.Desde su llegada a Bogotá, todo empezó a cambiar. Una nueva familia, capitán de manera inmediata y una presentación que más de 30,000 abonados de Millonar… Ver más",Carlos Albarracín: Querian mas tome su falso lider vamos bien
https://www.facebook.com/groups/164639504222784,#Movilidad Recuerde que en #tunja el #PicoYplaca el día miércoles será para los vehículos particulares con matrículas terminadas en 1 y 2. #bogotá hoy 6-7-8-9-0,Edgar Humberto Quintero Vidal: Colombia 2 argentina 1
https://www.facebook.com/groups/164639504222784," Virgen delCarmen ¡Oh Virgen SantísimaInmaculada, belleza y esplendor del Carmen!Vos, que miráis con ojos de particular bondad al que viste vuestro benditoEsc… Ver más",Julio Mendez: Gracias
https://www.facebook.com/groups/164639504222784,#Movilidad  Recuerde que en #tunja el PicoYplaca el día martes será para los vehículos particulares con matrículas terminadas en 9 y 0. Bogotá hoy 1-2-3-4-5,Luanhez Hf: Confirmado para Tunja?
https://www.facebook.com/groups/164639504222784,"#Noticias La gobernación de Boyacá ha anunciado mediante el decreto 0880 del 12 de julio de 2024, decretar Día Cívico en los colegios oficiales del departamento.En el decreto se invita a los colegios privados a acatar también el decreto, aunque estos tendrán total libertad de tomarlo o no.El decreto no aplica para instituciones de Tunja y Duitama.",Lisseth Puentes: No se puede compartir. La idea es difundir la información
https://www.facebook.com/groups/164639504222784,"#Noticias El presidente Gustavo Petro aseguró que el Gobierno de Colombia reducirá la inversión pública para 2025 debido a las deudas del país que lo tienen en números rojos.“Tenemos que disminuir la inversión pública de 96 billones de pesos de este año a 57 billones de pesos el año entrante. Para pagar deuda, es triste”, aseguró el presidente.El mandatario dice, sin embargo, que estas cifras podrían cambiar debido a que se trata de un presupuesto. Este nuevo monto, asegu… Ver más",Yayita Clau Avendaño: Colaborador destacado: Ayyyy DIOS nos ampare terrible está situación...pobres niñas...DIOS las ayude ...en Colombia solo hay corrupción y en boyacá peor
https://www.facebook.com/groups/164639504222784,"UnoPolla  ¡Si le pegas al marcador del partido Colombia vs. Argentina que se disputa este domingo 14 de julio a las 7:00 pm, FINAL de la CONMEBOL COPA AMÉRICA USA 2024 ¡podrás participar por grandes premios!1. Inscríbete en este link: https://forms.gle/rLYiYuncdRmbF1BL72. Haz tu mejor apuesta.3. Si aciertas en el marcador final, espera nuestra llamada (Recuerda que se elige de forma aleatoria el ganador, dependiendo de la cantidad de personas que acertaron en el marcador).4.… Ver más",Danna Sophia Salcedobotia: Que tristeza las leyes Colombianas personas en cárceles por robar comida para sus hijos por un caldo una sopa un jabón y cuanto tiempo para poder  tener libertad con una familia destrozada por la desgracia colombiana y un hp que mato robo se puso a jug… Ver más
https://www.facebook.com/groups/164639504222784,#Movilidad Recuerde que en #tunja el #PicoYplaca el día lunes no aplica por día cívico. #bogotá hoy 6-7-8-9-0,Gustavo Antonio Moreno Moreno: Animo: Colombis
https://www.facebook.com/groups/164639504222784,"#Noticias En las últimas horas, en un operativo del Distrito y el ICBF, le fueron restablecidos los derechos a 10 menores que estarían siendo utilizados para la realización de actividades ilícitas en la Zona Rosa de Bogotá.El operativo en el que las autoridades hallaron flagrantes evidencias de vulneración a los derechos de niños, niñas y adolescentes se llevó a cabo entre las calles 85 y 81, y entre las carreras 15 y 11.""Se evidenció la violación flagrante a los derechos… Ver más",Alvaro Niño: Esa mierda es una payasada
https://www.facebook.com/groups/164639504222784,"#Noticias El Ministerio de Defensa confirmó la captura de otro presunto integrante del Clan del Golfo. El aprehendido fue identificado como alias Sebastián y tendría el rol de amenazar a los comerciantes y los contratistas de las obras públicas que se realizaban en los municipios de Chinú, Sahagún, Tuchín y San Andrés de Sotavento, en Córdoba.Con esta captura, la Policía de Córdoba confirmó que ha logrado capturar a 1.307 personas durante el 2024 y que la detención de 183 d… Ver más",Julio Mendez
https://www.facebook.com/groups/164639504222784,"#Noticias Mediante el Decreto 0345 la Alcaldía de Tunja declara día NO HÁBIL este lunes 15 de julio, por consiguiente no se prestará atención al público en el edificio municipal y en los entes descentralizados.De igual manera para las instituciones educativas del sector oficial no habrá clases.",Jaime Luciano Rojas Vega: Optimismo iluso.
https://www.facebook.com/groups/164639504222784,"¿Trata de personas en Tunja? Mujeres desaparecidas estarían siendo prostituidas en el exterior. #Boyacá | En Boyacá se han presentado dos casos de mujeres desaparecidas; el primero de ellos es el de una joven de 21 años que fue vista por última vez en Tunja en abril del 2023, el segundo corresponde a una mujer de 33 años quien desapareció en enero del 2024 en Duitama. La Fundación Mujer Libre, que brinda atención integral a mujeres víctimas de Violencia de Género, cree q… Ver más",Julio Mendez
https://www.facebook.com/groups/164639504222784,"#Noticias El exjefe paramilitar, Salvatore Mancuso, salió libre este miércoles 10 de julio, en medio de un proceso con diversas competencias de Justicia y Paz y la Jurisdicción Especial para la Paz.Fueron varias las camionetas de la Unidad Nacional de Protección las que llegaron hasta instalaciones de la penitenciaría para trasladar a Mancuso, quien ya no cuenta con ningún impedimento jurídico ni legal para que quedar libre.Según indicó la UNP a través de redes sociales, … Ver más",Edwin Mateus  · Seguir: Chiquinquirá día sin carro
https://www.facebook.com/positivafmradio,https://www.positiva.fm/news/festival-de-poesia-costumbrista-rubas-y-nabos,Fan destacado: Marysol Ramirez Galviz: Me encanta tunja tibasosa
https://www.facebook.com/positivafmradio,Desfile del 20 de julio en Tunja. Fotografía: Alcaldía de Tunja,Ricardo Martinez: Ojala tapen los huecos creo que es la unica calle buena que le queda a la ciudad
https://www.facebook.com/positivafmradio,Hermosa  #Boyacá,Maria Yamile Rojas: Es que los señores  de las motos se pasan por la galleta  todas las normas de tránsito
https://www.facebook.com/positivafmradio,Hoy el #Top21Positiva rinde un homenaje especial a nuestros artistas colombianos  20 de julio “día de la independencia”Cuéntanos que artista te representa,"Manuel Blanco: Una vergüenza que tengan el nombre de boyacá, representan la corrupción y el daño que han hecho"
https://www.facebook.com/positivafmradio,¿Fin de semana de asado?  ¿cuál es el plan?,Sandra Patricia Alba Becerra
https://www.facebook.com/positivafmradio,"Inicia la cuadragésima tercera Semana Internacional de la Cultura Bolivariana y de los Países Hermanos, Territorios de Paz. Nuestra Biblioteca Zenón Solano Rica… Ver más","Fan destacado: Kapriccio Tablas Quesos: Buenísimo, lastima el día "
https://www.facebook.com/positivafmradio,¿Qué los hace sentir colombiano?,"Luis Javier Bello Mendoza: Foto Porras, también conocida como foto Gevaert."
https://www.facebook.com/groups/6669773836451212,"EN VENTA CASA CAMPESTRE A 15 MINUTOS DEL CENTRO DE MONIQUIRA.   311 4579858  UN CLIMA CÁLIDO MUY AGRADABLE, AMBIENTE SANO Y MUY SEGURO … Ver más",Mtb Boyaca Boyaca: Es una ganga lástima que el barrió es tan peligroso..pero si es tentador
